,SD1,SD2,SD3,r2_train,r2_test,pr_train,pr_test,kt_train,kt_test
21,Reaction_CH2F,Reaction_CH2CF3,Reaction_Cy,0.9231307128595564,0.6521573062790321,0.967482082238626,0.8175013920814703,0.7743034973828518,0.5948841028813399
22,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9217681441519827,0.7433606900982508,0.9702857483185794,0.8685301706286946,0.8042833070955714,0.553417226929833
23,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9539247379282924,0.016728625958313925,0.9796605297427524,0.6810093576098557,0.7897048797725131,0.4187984084284632
24,Reaction_Cy,Reaction_CH2CF3,Reaction_CH2F,0.9285420482515466,0.490847228235752,0.9768556829748982,0.7350200755947472,0.6915306637484082,0.5755271732017492
25,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9124815287001897,0.33718779388165776,0.9623752822054904,0.7209251186838291,0.7354197044839081,0.5540887092597937
26,Reaction_CH2CF3,Reaction_Cy,Reaction_CF3,0.933911809305914,0.4268693658292241,0.9808307584595723,0.6735987876177344,0.7762224681012323,0.5247921979507038
27,Reaction_CH2CF3,Reaction_Cy,Reaction_CF3,0.9362375496035755,0.5641025458178962,0.9770386414968912,0.7669703879421395,0.7433609247019622,0.46365777770783817
28,Reaction_CH2CF3,Reaction_Cy,Reaction_SCF3,0.8852757710719544,0.3618447026650029,0.9531180572852376,0.612361252813125,0.7186456135195068,0.48248651994978087
29,Reaction_Cy,Reaction_CH2CF3,Reaction_CH2F,0.9184009850154685,0.7029622825629439,0.9680591573636844,0.8788314241086427,0.6961543510142494,0.681833269492168
30,Reaction_CH2F,Reaction_Cy,Reaction_CH2CF3,0.9259012021681421,0.37918513189385816,0.9675976406350728,0.6242514520074732,0.7608243467686511,0.4788375233534966
31,Reaction_Cy,Reaction_CH2CF3,Reaction_CH2F,0.944554178301625,0.6330601110918244,0.9806934670984947,0.803505865584282,0.7843613560663613,0.5663296659430355
32,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9060506882537045,0.721612912921799,0.9655367414275517,0.8557820844537483,0.6409541958417222,0.6535218534578912
33,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,0.9167690212207247,0.47399976077296346,0.9726470789367208,0.7289629553125226,0.7243003935435834,0.599044301784368
34,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9402053294798477,0.5674982393576271,0.97772069433522,0.758311087812409,0.8341774834907848,0.4709306717140996
35,Reaction_CH2F,Reaction_Cy,Reaction_CH2CF3,0.948613297980828,0.3074964654786604,0.978815633269251,0.6683896197989722,0.8253913012160067,0.5004140229840285
36,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9355410429354516,0.5605611255707259,0.9723321179493893,0.7645764845323582,0.702771489498913,0.5932356026102464
37,Reaction_Cy,Reaction_CH2CF3,Reaction_CH2F,0.9240458172670475,0.6507388169199328,0.9700605062519586,0.8239904382192226,0.7529923484812581,0.5691402522676646
38,Reaction_Cy,Reaction_CH2CF3,Reaction_CH2F,0.9356902583516759,0.5074243630921786,0.9735671212719222,0.7125855261544186,0.6925934358412563,0.5329828088174016
39,Reaction_CH2F,Reaction_CH2CF3,Reaction_Cy,0.9251830761919113,0.5014957846934396,0.9687334333077993,0.7125069717164704,0.826746334452498,0.45868599060691273
40,Reaction_Cy,Reaction_CH2CF3,Reaction_SCF3,0.9437982047582462,0.003840436629416688,0.975121986716413,0.4061465140906024,0.817302565752832,0.31243320778728123
41,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.932081318221231,0.72457218247503,0.9757609116185006,0.8735251234594132,0.7405934794646507,0.6248014595201683
42,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,0.9320001948238525,0.37232293955242746,0.9722495128630949,0.7228700181141497,0.8048022259406572,0.44787552652664997
43,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9139264501932918,0.4548729393511638,0.9647115136254453,0.6813407882708924,0.6858347823339116,0.5041420200062703
44,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.8926203616227188,0.47062146191573606,0.9587047689560914,0.7494788511045319,0.7339389859139808,0.6045098577745165
45,Reaction_CH2F,Reaction_CH2CF3,Reaction_Cy,0.9364322016120128,0.2523635634586946,0.9740072454031745,0.522760604909544,0.7729603893991844,0.40343767848844553
46,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9080502468120115,0.6707335118533891,0.9654452261338412,0.8207947833272031,0.7475619462021099,0.5870230035228365
47,Reaction_Cy,Reaction_CH2CF3,Reaction_CH2F,0.9324926138736578,0.525481241910286,0.9728363521326459,0.7543005927312608,0.7123592175922236,0.5820422559089623
48,Reaction_CH2CF3,Reaction_Cy,Reaction_SCF3,0.9428594887700009,-0.29340346738410217,0.978942335158593,0.5883290336727337,0.8074357323029868,0.4385967870522626
49,Reaction_Cy,Reaction_CH2CF3,Reaction_CH2F,0.9594831970836529,0.24628850913509104,0.9835138401222843,0.7540226860053706,0.7908787559520132,0.5721896655536064
50,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9522296355668171,0.4126229596613161,0.979686309707586,0.6875989581069547,0.8543541792281485,0.4021460740190943
51,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9506886672296273,0.4327898531667762,0.9805114281861449,0.6591798424222175,0.7718836189851306,0.5042003116956417
52,Reaction_CH2CF3,Reaction_Cy,Reaction_SCF3,0.9294720495732005,-0.015124110531309132,0.9742164458004521,0.3227087655287177,0.7331668634617442,0.4645820984297111
53,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9355575463824256,0.47483006317948795,0.9745817721734008,0.745469785603975,0.8309007366770009,0.47658679548141564
54,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9339854550204383,0.5836263251374889,0.9780887968232959,0.8308986984727421,0.6164490324491153,0.6488258272066711
55,Reaction_Cy,Reaction_CH2CF3,Reaction_CF3,0.9463446787916069,0.5868113650085922,0.9821788730192755,0.7844673525290962,0.8518740353260785,0.49139633080838624
56,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9111993284488438,0.7076871408634231,0.9675249787660937,0.8641953925844508,0.6553550986697015,0.6743594585692496
57,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,0.9221490117935892,0.4953269890947204,0.9676560685046769,0.7039923788887834,0.827375419558524,0.46968899112321216
58,Reaction_CH2CF3,Reaction_CF3,Reaction_Cy,0.9345427934477076,0.5719431189272972,0.9790629123433353,0.8098173468646942,0.8056712477499659,0.5204290489435867
59,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9346937358465432,0.6110300762268844,0.971244551492619,0.7905241305702695,0.7018297282510099,0.5663296659430355
60,Reaction_CH2CF3,Reaction_Cy,Reaction_CF3,0.9191545328105003,0.8230423237866196,0.9730852459288074,0.9315397876237911,0.765230591284255,0.7420583478235578
61,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.8856376060751363,0.5175898694506982,0.9568397212200337,0.7420028718523012,0.6607621592280147,0.5968990213893375
62,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9287000113327097,0.6160549614914222,0.972899193509534,0.7946372740406951,0.7710500149488413,0.6198626031909119
63,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9499400489288856,-0.028273790972092705,0.9776819790511598,0.6449390030412194,0.8355413614472981,0.4477388626699202
64,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9324525414733347,0.664544279876446,0.9710232143935457,0.845412799614636,0.8283582605922502,0.5612685538578142
65,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,0.9414920202407073,0.4371412711842233,0.9737837881561107,0.6961759462894668,0.8348513734362475,0.3845530149685481
66,Reaction_CH2CF3,Reaction_Cy,Reaction_CH2F,0.9666223946775551,0.19434700241331127,0.9881901056975697,0.6630813183785332,0.8233903496635524,0.4746444525345673
67,Reaction_Cy,Reaction_CH2CF3,Reaction_CN,0.9358305745435943,0.4688952251073252,0.9761300300220181,0.7632693470316845,0.7889568120273003,0.6344845893222337
