Name,ID,SMILES,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,Yield_PR1,Yield_PR2,Yield_PR3,Yield_PR4,Yield_PR5,Yield_PR6,Yield_PR7,Yield_PR8,Yield_PR9,Yield_PR10,Yield_PR11,Yield_PR12,Yield_PR13,Yield_PR14,Yield_PR15
2MeDPAA,OPS45,CC(C=C1)=CC=C1N(C2=CC=C(C=C2)C)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C7=C3C=CC=C7,-0.17204,-0.06625,2.8733,0.2734,2.1007,0.7726,0.0023,1,48,34,30,2,2,0,11,32,9,32,21,42,0,37
2OMeDPAA,OPS46,COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)OC)C6=CC=C(C=C6)OC)C7=C3C=CC=C7,-0.16348,-0.0643,2.7205,0.254,2.0389,0.6816,0.0,0,8,1,7,0,2,0,40,29,2,26,14,3,0,17
3DPANB,OPS47,O=[N+](C(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)[O-],-0.18594,-0.06772,3.1973,0.0899,2.9176,0.2797,4.0204,0,1,0,8,0,16,2,10,0,0,28,4,2,0,5
CF3PhDPZ,OPS48,FC(C(C=C1)=CC=C1N2C3=CC=CC=C3N(C4=CC=C(C=C4)C(F)(F)F)C5=C2C=CC=C5)(F)F,-0.1619,-0.04155,3.3175,0.0,2.9345,0.383,0.0,0,1,3,9,2,9,15,61,51,25,65,5,3,25,12
NapDPZ,OPS49,C12=CC=CC=C1N(C3=CC=C(C=CC=C4)C4=C3)C5=C(C=CC=C5)N2C6=CC=C(C=CC=C7)C7=C6,-0.15201,-0.04408,3.3012,0.0,2.9882,0.313,0.0824,0,2,0,8,0,8,10,68,74,26,73,1,46,15,18
5CzBN,OPS50,N#CC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C1N%14C(C=CC=C%15)=C%15C%16=C%14C=CC=C%16,-0.20063,-0.07542,3.5356,0.2762,3.2477,0.2879,4.9407,42,76,54,53,17,99,79,59,6,1,44,87,2,15,24
2DPABz,OPS51,O=C(C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)=O)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,-0.19069,-0.06958,3.0227,0.0037,2.5871,0.4356,0.3529,0,34,24,10,0,0,0,8,0,0,7,21,14,4,8
DPABT,OPS52,C1(C2=NC3=C(C=CC=C3)S2)=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,-0.18556,-0.05394,3.5717,1.3009,2.8871,0.6846,6.0432,0,21,21,9,0,4,1,29,34,1,85,88,77,0,28
PhPTZ,OPS53,C12=CC=CC=C1N(C3=CC=CC=C3)C4=C(C=CC=C4)S2,-0.16887,-0.02148,3.713,0.0109,3.1473,0.5657,0.2434,0,8,22,16,0,1,0,51,28,30,44,31,6,0,2
ph_bPTZ,OPS54,C1(C=CC=C2)=C2C=C(SC(C=CC=C3)=C3N4C5=CC=CC=C5)C4=C1,-0.17426,-0.03323,3.7625,0.223,3.1359,0.6266,4.6819,12,21,40,10,59,3,7,77,71,28,68,94,31,0,18
perylene,OPS55,C1(C2=C3C4=CC=CC3=CC=C2)=C(C4=CC=C5)C5=CC=C1,-0.18188,-0.06947,3.196,0.791,2.0783,1.1177,0.0,0,39,19,24,94,56,0,32,60,14,58,76,34,0,43
9_10_DCA,OPS56,N#CC1=C2C(C=CC=C2)=C(C#N)C3=CC=CC=C31,-0.22657,-0.1128,3.2747,0.3366,2.003,1.2717,0.0,0,23,2,11,0,0,0,4,0,0,0,31,2,2,2
Me_TAPB,OPS57,CN(C)C1=CC=C(C2=CC(C3=CC=C(N(C)C)C=C3)=CC(C4=CC=C(N(C)C)C=C4)=C2)C=C1,-0.17326,-0.00888,4.3833,0.0682,3.4449,0.9384,0.1341,0,12,5,5,0,2,0,27,24,11,20,26,3,0,1
Et_bodipy,OPS58,CC1=C2[N+]([B-](F)(F)N3C1=C(C)C(CC)=C3C)=C(C)C(CC)=C2C,-0.19047,-0.08145,2.9757,0.965,1.6996,1.2761,1.4103,0,2,0,0,3,1,0,9,2,0,4,2,5,0,4
TPP+,OPS59,C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=[O+]1,-0.35572,-0.22919,3.3873,0.7073,2.6833,0.704,4.496,0,2,0,0,0,1,1,6,1,0,0,37,3,0,35
Acr+_Mes,OPS60,C[N+]1=C(C=CC=C2)C2=C(C3=C(C)C=C(C)C=C3C)C4=CC=CC=C41,-0.33825,-0.23168,3.0716,0.0001,2.3388,0.7328,1.1618,0,0,0,0,0,0,1,9,2,0,0,0,2,0,0
