Name,ID,MF_PC_0,MF_PC_1,MF_PC_2,MF_PC_3,MF_PC_4,MF_PC_5,MF_PC_6,MF_PC_7,MF_PC_8,MF_PC_9,MF_PC_10,MF_PC_11,MF_PC_12,MF_PC_13,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Reaction_CF3,Reaction_CH2CF3,Reaction_CH2F,Reaction_Cy,Reaction_SCF3,Reaction_OCH2F,Reaction_P,Reaction_Si,Reaction_cross,Yield
4ClDPAIPN,OPS11,-1.808862444983219,-1.170360574525467,-2.0009392928013447,-1.155411298417311,-0.10442036859185508,-0.43719422973589267,-0.07997197154710592,-1.0998502360599491,-0.10978340263269541,0.05028202399339353,1.2954968517832262,-0.3067669612068623,0.4229227586986824,0.09966502397967669,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78
4BrDPAIPN,OPS12,-1.7865479271427889,-1.0822373161348444,-1.9797545122388942,-1.2392309615624266,-0.25866905143166874,-0.5895139775581334,0.0006340264462714078,-1.1964174359243898,0.2530817337274685,0.17836408955036198,1.4484021984478233,-0.26163513500765184,0.45675539451820246,-0.4148052580143432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74
3CzClIPN,OPS13,-0.08065218701660574,2.157292646070044,-1.4279279892200951,-1.2328630372345206,0.7584233674698674,-0.7776693584981171,-0.2682862459314875,0.13924251950019162,-0.9133143156177482,0.2119774811038546,-0.36268614239240843,-0.5690058446225726,0.0017767225706071187,-0.24183505257396162,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75
4CzPN,OPS14,-0.2708322862864492,2.254933980484129,-1.3446625530237788,-1.3581797344325086,0.5033462272997837,-0.8887283371583576,-0.24417867284280748,0.2681606180809767,-0.8084197637089399,0.3076858139258714,-0.34519442929696814,-0.45955858470720906,-0.03263590579700513,-0.17702498244229972,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58
4DPAPN,OPS15,-1.7196527024963126,-0.7504413135113669,-1.2896611583239397,-0.9301341004867395,0.04985037722923012,-1.06366519202777,-0.5159479025596083,-1.333205422444545,-0.4612586841573912,0.08880916908571557,1.1706367411882839,0.3773106453739118,-0.06108024777756358,0.48961938537241695,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
4CzTPN,OPS16,-0.07914065011024389,2.1758772627854874,-1.3643521563077605,-1.2376481167492672,0.6492657561841084,-0.7945215065664045,-0.2334635120869925,0.14884926542598534,-0.8079819594736873,0.15586088962354816,-0.40482798157152755,-0.38935656247936345,-0.07462486188767654,-0.2633788037046314,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13
4DPATPN,OPS17,-1.6887659961736996,-0.7127405477309181,-1.2018074736990718,-0.8670944276814893,0.06932696347201509,-1.021671954400461,-0.4916478025854821,-1.2149307882052522,-0.4648638758877905,0.10507394517387045,0.9568515669526063,0.3572981910576392,-0.08518398451673354,0.46455978944698056,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1CzTRZ,OPS18,-0.9569841979767503,1.7646690923091135,1.1742673186735877,1.17183782736696,1.7032420514176223,-0.29755878050659146,-0.7405884866584579,1.690321815650743,-0.9972641373749153,0.36767094914997234,0.9281611880000474,-0.28750606492314873,0.39095108592626115,-0.8489595296563147,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1tBuCzTRZ,OPS19,-1.1611843818607472,1.8456278186331478,0.866613071404509,1.4478797386400284,1.2357873823337315,0.12146112244495402,-0.4887741704371932,2.687649767418584,1.5305004915031721,-0.4366727589993145,1.2584171806189317,0.2458001805537232,0.20350511168364815,0.16029887291625972,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
1DPATRZ,OPS20,-2.441598497688101,-1.1784146103708468,0.8621724737375963,1.512180403589666,1.0599959597818656,-0.5591094780037925,-0.5043220230840544,0.3923983172638271,0.02464955322419265,0.690564427594974,0.6213238161397995,-0.6986714573316182,-0.21347677297394166,-0.01991681347072533,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34
1tBuDPATRZ,OPS21,-2.5111764469502034,-0.879655504426739,0.5141360683588038,1.9425372785909143,0.3950755317537433,-0.16036390062105926,-0.6986339753048586,1.4251197226501828,1.6371073878781077,-0.5459795597274809,0.8930518962233294,-0.3456026009638934,-0.16307158646883294,0.20572821744496808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39
1ClDPATRZ,OPS22,-2.4210946535695497,-1.2518592755532723,0.7784820555167703,1.5120276525861687,1.2243729201317872,-0.39823078683041113,-0.47063844979434005,0.46078102557977985,-0.028975212615508172,0.7920765025761245,0.7276558122335381,-1.0740332574191818,-0.04035626111970302,-0.044946341914516214,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11
1BrDPATRZ,OPS23,-2.3987801357291207,-1.1637360171626498,0.7996668360792226,1.4282079894410529,1.0701242372919733,-0.5505505346526516,-0.3900324518009629,0.36421382571533933,0.33388992374465576,0.9201585681330927,0.8805611588981359,-1.028901431219971,-0.006523625300183721,-0.5594166239085361,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24
1OMeDPATRZ,OPS24,-2.043204893522074,-1.3099942969056706,0.45190448912964404,2.548357791104636,0.15524414327787747,-1.147585501257931,1.4330127891420712,1.0037979202279939,-0.2302218872733548,0.5340757007191952,0.5621091867476753,-0.36736426909505765,-0.5405030805322196,-0.34200445651867606,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
1PhDPATRZ,OPS25,-2.3705167729731578,-1.1781791290752486,0.9740010393562654,1.4295753768053143,1.1852492416496998,-0.38196610987306917,-0.3662805550847642,0.4014313159240746,0.26695318684234554,0.6796762805046282,0.5227488310147986,-0.6893185888736725,-0.3780054859562023,-0.1541215233429889,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26
